ISO3,Year,Attack_Count,GDP_USD,GDP_per_capita_USD,Internet_Penetration,Cellular Subscription,No. of Internet Users,Broadband Subscription,Population,Population Growth,Growth Rate (%),Decade,Penetration_Index,Digital_Exposure_Index,Economic_Exposure,Connectivity_Score,Attack_Density,Growth_Adjusted_Risk
ABW,2005,,2359776536.0,23591.15984,25.39999962,103.3849487,24002.0,12.27019596,100031.0,1294.0,1.3105522752362335,2000s,,609650.79087924,98315.82934755438,115.65514465999999,,
ABW,2006,,2469832402.0,24495.01539,28.0,108.128212,26774.0,13.83759403,100834.0,803.0,0.8027511471443852,2000s,,749672.0,92247.419212669,121.96580603000001,,
ABW,2007,,2677653631.0,26452.23195,30.89999962,112.2147369,29910.0,15.80288887,101222.0,388.0,0.3847908443580538,2000s,,924218.9886342,89523.69210966233,128.01762577,,
ABW,2008,,2843016760.0,28048.15177,52.0,119.1874313,50963.0,18.1495285,101358.0,136.0,0.1343581434865938,2000s,,2650076.0,55785.89878931774,137.3369598,,
ABW,2009,,2553631285.0,25170.83236,58.0,126.1643066,57549.0,18.53038216,101455.0,97.0,0.0957003887211665,2000s,,3337842.0,44373.165215729205,144.69468876,,
ABW,2010,,2453631285.0,24134.47386,62.0,129.6363678,62219.0,18.90153313,101669.0,214.0,0.2109309546104184,2010s,,3857578.0,39435.40212796734,148.53790092999998,,
ABW,2012,,2615083799.0,25496.84394,74.0,131.6302643,75573.0,0.0,102560.0,514.0,0.503694412323854,2010s,,5592402.0,34603.41390443677,131.6302643,,
ABW,2013,,2727932961.0,26442.4268,78.90000153,134.5495758,81181.0,18.61204529,103159.0,599.0,0.5840483619344774,2010s,,6405181.02420693,33603.09630332221,153.16162109,,
ABW,2014,0.0,2791061453.0,26895.05717,83.77999878,134.6194611,86802.0,18.50174332,103774.0,615.0,0.5961670818833064,2010s,0.0,7272271.45410156,32154.3449805304,153.12120442,0.0,0.0
ABW,2015,0.0,2963128492.0,28399.05013,88.66122437,135.1338348,92446.0,18.20952415,104341.0,567.0,0.5463796326632875,2010s,0.0,8196375.54810902,32052.533284295696,153.34335894999998,0.0,0.0
ABW,2016,0.0,2983798883.0,28453.71556,,,,,104872.0,531.0,0.5089082910840418,2010s,0.0,,,,0.0,0.0
ABW,2017,0.0,3092178771.0,29348.41897,,,,,105366.0,494.0,0.471050423373255,2010s,0.0,,,,0.0,0.0
ABW,2018,0.0,3202234637.0,30253.71423,,,,,105845.0,479.0,0.4546058500844675,2010s,0.0,,,,0.0,0.0
ABW,2019,0.0,3310055866.0,31135.88436,0.0,132.6259918,0.0,17.87158775,,,,,0.0,0.0,inf,150.49757955,,
ABW,2020,0.0,2496648045.0,23384.29879,0.0,132.0645142,0.0,17.79592705,,,,,0.0,0.0,inf,149.86044124999998,,
AFG,2005,,6209137625.0,242.0313132,1.224148035,4.677582741,298829.0,0.000857557,25654277.0,927593.0,3.751384536640659,2000s,,365810.933151015,20778.22977354942,4.678440298,,
AFG,2006,,6971285595.0,263.7336019,2.107123613,9.53490448,536114.0,0.001891571,26433049.0,778772.0,3.035641971122398,2000s,,1129658.4686598822,13003.364200524515,9.536796051,,
